"id","target","subpopulation","predictor","response","predicted"
"1","e5","A",251,3161,3414.60707966182
"1","u21","A",226.5,3976,3391.70959516748
"1","e31","A",262.4,3323,3425.26141938571
"1","m39","A",212.15,3647,3378.29821139222
"1","u47","A",216.9,3454,3382.73751961051
"1","r18","B",203.3,3266,3802.80230073737
"1","n40","B",330.25,1740,3926.76629237115
"1","w23","C",257.5,3508,3072.99838183918
"1","g33","C",221,3084,3014.53220022177
"1","k37","C",395.5,2817,3294.04860274884
"1","a27","D",202.4,2192,2545.3421057414
"1","h8","E",212.01,2862,4085.89027332077
"1","o15","E",412.5,2153,3913.72108379863
"1","a27","E",292.65,3325,4016.64131605076
"1","j36","E",397.9,1950,3926.25871743135
"1","m39","E",196.9,2713,4098.8658653886
"1","o41","E",270.9,1472,4035.31895519538
"1","r44","F",422.1,4049,5117.01460347675
"1","j10","G",483.9,2256,4129.72305436704
"1","r18","G",257.15,4584,4830.79896336
"1","c29","G",296.5,3919,4709.13485302318
"1","p42","G",333.5,1857,4594.7365790089
"1","s45","G",196.8,4373,5017.39182381303
"1","a53","G",277,4153,4769.42583527396
"1","a27","H",194.3,3901,4751.485318794
"1","e31","H",213.1,3856,4803.04298344137
"1","t20","I",153.1,5688,5607.3006088722
"1","x24","I",324.75,3896,5175.22223095119
"1","a27","I",345,5257,5124.24881322384
"1","x50","I",365.2,3681,5073.40125578717
"1","t46","J",278.7,5183,6771.71914604563
"1","f6","K",262.85,4560,6332.88101890097
"1","z26","K",162.6,4874,6047.42429176854
"1","l38","K",242.5,5153,6274.93543887957
"2","e5","A",251,3718,3414.60707966182
"2","i9","A",153.8,4227,3323.76481464753
"2","m39","A",212.15,4133,3378.29821139222
"2","n14","B",191.75,4510,3791.52396987191
"2","j36","B",496.2,4772,4088.81295965453
"2","s19","C",205.95,3043,2990.42491163706
"2","k37","C",395.5,3672,3294.04860274884
"2","a53","C",421,3653,3334.89483922128
"2","e5","D",181.75,2757,2504.142364626
"2","g7","D",292.3,2690,2724.70562759486
"2","c55","D",355.8,2902,2851.39732545575
"2","h8","E",212.01,3152,4085.89027332077
"2","h34","E",228.7,3517,4071.55786884611
"2","o41","E",270.9,3609,4035.31895519538
"2","t46","E",254.4,3929,4049.48819868441
"2","d4","F",258.9,5326,5408.42987584528
"2","k11","F",270.4,5889,5387.89509868696
"2","p16","F",285.6,6110,5360.75348018205
"2","g33","F",227.9,6499,5463.78449253294
"2","r44","F",422.1,5899,5117.01460347675
"2","y51","F",238,6233,5445.74960128954
"2","e57","G",381.6,3312,4446.01882279032
"2","l12","H",297.7,3289,5035.05247435455
"2","a27","H",194.3,2780,4751.485318794
"2","h34","H",233.8,3423,4859.81126313289
"2","d4","I",169.15,4677,5566.89945556237
"2","h8","I",335.3,4285,5148.6657096167
"2","j10","I",237.8,5236,5394.0932764521
"2","l12","I",261.95,4446,5333.30275605133
"2","p16","I",203.4,5207,5480.68515644326
"2","x24","I",324.75,3594,5175.22223095119
"2","p42","I",312.25,4528,5206.6873036224
"2","t20","J",155.6,4568,6070.88181399868
"2","z26","J",229.6,4545,6492.18126624461
"2","b28","J",238.6,5166,6543.42038881507
"2","t46","J",278.7,4417,6771.71914604563
"2","v48","J",265.8,4846,6698.27640369465
"2","s19","K",205.8,4787,6170.43407343558
"3","i9","A",153.8,2339,3323.76481464753
"3","a27","A",399.5,3103,3553.39387343364
"3","i35","A",380.25,2786,3535.40299275951
"3","u47","A",216.9,2468,3382.73751961051
"3","y51","A",237.9,2865,3402.36393489137
"3","v22","B",163.8,2452,3764.23138565636
"3","n40","B",330.25,2763,3926.76629237115
"3","z52","B",372,2795,3967.53428489348
"3","k11","C",186.2,2485,2958.78910103586
"3","o15","C",330.4,3557,3189.7705637545
"3","c29","C",237.9,3186,3041.60284321723
"3","w49","C",410.8,3242,3318.5563446323
"3","e5","D",181.75,2016,2504.142364626
"3","g7","D",292.3,2271,2724.70562759486
"3","i9","D",234.6,2436,2609.58576985354
"3","a27","D",202.4,2187,2545.3421057414
"3","d30","D",304.3,3109,2748.64736577329
"3","i35","D",368.5,2468,2876.73566502793
"3","u47","D",248,2259,2636.32071081946
"3","h8","E",212.01,3447,4085.89027332077
"3","m13","E",368.6,3573,3951.41985889974
"3","j36","E",397.9,4015,3926.25871743135
"3","t46","E",254.4,4087,4049.48819868441
"3","b54","E",281.6,4392,4026.13041547826
"3","d4","F",258.9,5332,5408.42987584528
"3","k11","F",270.4,5679,5387.89509868696
"3","w49","F",403.83,6236,5149.63811466654
"3","d56","F",249.9,4316,5424.50057101267
"3","r18","G",257.15,5545,4830.79896336
"3","w23","G",238.5,5054,4888.46187715369
"3","c29","G",296.5,5475,4709.13485302318
"3","s45","G",196.8,5547,5017.39182381303
"3","a53","G",277,5757,4769.42583527396
"3","l12","H",297.7,5445,5035.05247435455
"3","q17","H",175.95,4640,4701.1617471834
"3","u21","H",245.5,4449,4891.89768208897
"3","e31","H",213.1,4551,4803.04298344137
"3","l38","H",260.8,4827,4933.85684533923
"3","p16","I",203.4,6264,5480.68515644326
"3","b2","J",360.3,7590,7236.28719068439
"3","s19","K",205.8,5987,6170.43407343558
"3","d56","K",249.9,5548,6296.00655888735
"4","i9","A",153.8,2880,3323.76481464753
"4","i35","A",380.25,2991,3535.40299275951
"4","m39","A",212.15,2999,3378.29821139222
"4","q43","A",341.56,3714,3499.24365908253
"4","f6","B",262.8,4000,3860.90279307459
"4","y25","B",413.65,3238,4008.20462952953
"4","b28","B",245.4,3655,3843.91206086168
"4","f32","B",465.9,4453,4059.22565011137
"4","n40","B",330.25,4141,3926.76629237115
"4","b54","B",212.4,3653,3811.68825838894
"4","g7","C",196.7,1701,2975.60813958333
"4","o15","C",330.4,1830,3189.7705637545
"4","s19","C",205.95,1428,2990.42491163706
"4","w23","C",257.5,1527,3072.99838183918
"4","g7","D",292.3,2707,2724.70562759486
"4","n14","D",262.8,2845,2665.84885457287
"4","o15","E",412.5,4625,3913.72108379863
"4","q43","E",335.5,4894,3979.84422008076
"4","t46","E",254.4,4973,4049.48819868441
"4","b54","E",281.6,5202,4026.13041547826
"4","d4","F",258.9,6183,5408.42987584528
"4","k11","F",270.4,7035,5387.89509868696
"4","x24","F",208.7,6740,5498.06864222335
"4","g33","F",227.9,7454,5463.78449253294
"4","r44","F",422.1,6861,5117.01460347675
"4","y51","F",238,6892,5445.74960128954
"4","j10","G",483.9,4116,4129.72305436704
"4","r18","G",257.15,4658,4830.79896336
"4","a53","G",277,4953,4769.42583527396
"4","u21","H",245.5,4583,4891.89768208897
"4","e31","H",213.1,4672,4803.04298344137
"4","h34","H",233.8,5222,4859.81126313289
"4","e57","H",352.4,5147,5185.06333904664
"4","d4","I",169.15,4379,5566.89945556237
"4","h8","I",335.3,5306,5148.6657096167
"4","l12","I",261.95,4652,5333.30275605133
"4","d30","I",289.2,5012,5264.7088976281
"4","x50","I",365.2,4659,5073.40125578717
"4","d56","I",373.8,4006,5051.75328578938
"4","b2","J",360.3,2810,7236.28719068439
"4","b28","J",238.6,3062,6543.42038881507
"4","t46","J",278.7,2483,6771.71914604563
"4","c3","K",177.6,5215,6090.13602151404
"4","s19","K",205.8,6173,6170.43407343558
"5","e5","A",251,1165,3414.60707966182
"5","i9","A",153.8,1257,3323.76481464753
"5","q17","A",189.6,1024,3357.22317974539
"5","e31","A",262.4,1075,3425.26141938571
"5","e57","A",352.4,1055,3509.37462773227
"5","f6","B",262.8,2173,3860.90279307459
"5","f32","B",465.9,2425,4059.22565011137
"5","b54","B",212.4,1660,3811.68825838894
"5","o15","C",330.4,2982,3189.7705637545
"5","w23","C",257.5,2464,3072.99838183918
"5","c29","C",237.9,2372,3041.60284321723
"5","k37","C",395.5,2898,3294.04860274884
"5","o41","C",247.8,2436,3057.46079384771
"5","s45","C",232.07,1996,3032.26427229039
"5","c55","C",319.2,2621,3171.83025597053
"5","e5","D",181.75,629,2504.142364626
"5","f32","D",432.7,866,3004.82396428257
"5","i35","D",368.5,727,2876.73566502793
"5","s19","E",219.7,2535,4079.28654711285
"5","a27","E",292.65,2216,4016.64131605076
"5","v48","E",455.9,2008,3876.45167971234
"5","b54","E",281.6,2346,4026.13041547826
"5","d4","F",258.9,3212,5408.42987584528
"5","x24","F",208.7,3752,5498.06864222335
"5","d56","F",249.9,2901,5424.50057101267
"5","r18","G",257.15,2592,4830.79896336
"5","c29","G",296.5,2244,4709.13485302318
"5","e57","G",381.6,2492,4446.01882279032
"5","l12","H",297.7,2836,5035.05247435455
"5","h8","I",335.3,2408,5148.6657096167
"5","p16","I",203.4,2506,5480.68515644326
"5","t20","I",153.1,1843,5607.3006088722
"5","x24","I",324.75,1811,5175.22223095119
"5","d56","I",373.8,1992,5051.75328578938
"5","t20","J",155.6,2647,6070.88181399868
"5","z26","J",229.6,3303,6492.18126624461
"5","v48","J",265.8,3150,6698.27640369465
"5","c3","K",177.6,2672,6090.13602151404
"5","l38","K",242.5,3913,6274.93543887957
"5","a53","K",277.06,3124,6373.34326421321
"6","m13","A",279.1,2297,3440.86909249002
"6","u21","A",226.5,2682,3391.70959516748
"6","e31","A",262.4,2207,3425.26141938571
"6","y51","A",237.9,2456,3402.36393489137
"6","j36","B",496.2,2134,4088.81295965453
"6","b54","B",212.4,2167,3811.68825838894
"6","g7","C",196.7,2444,2975.60813958333
"6","w23","C",257.5,1885,3072.99838183918
"6","g33","C",221,1635,3014.53220022177
"6","k37","C",395.5,2101,3294.04860274884
"6","w49","C",410.8,2242,3318.5563446323
"6","i9","D",234.6,2201,2609.58576985354
"6","d30","D",304.3,3064,2748.64736577329
"6","u47","D",248,2029,2636.32071081946
"6","h34","E",228.7,1909,4071.55786884611
"6","k11","F",270.4,4030,5387.89509868696
"6","x24","F",208.7,4321,5498.06864222335
"6","r44","F",422.1,3989,5117.01460347675
"6","d56","F",249.9,3381,5424.50057101267
"6","j10","G",483.9,2735,4129.72305436704
"6","r18","G",257.15,3722,4830.79896336
"6","w23","G",238.5,3469,4888.46187715369
"6","c29","G",296.5,3456,4709.13485302318
"6","k37","G",410.55,2364,4356.50990298725
"6","p42","G",333.5,3437,4594.7365790089
"6","s45","G",196.8,3662,5017.39182381303
"6","a53","G",277,3856,4769.42583527396
"6","e57","G",381.6,3282,4446.01882279032
"6","q17","H",175.95,2211,4701.1617471834
"6","u21","H",245.5,2388,4891.89768208897
"6","h34","H",233.8,2866,4859.81126313289
"6","y51","H",281.9,2779,4991.72209661899
"6","d4","I",169.15,2818,5566.89945556237
"6","h8","I",335.3,2686,5148.6657096167
"6","p42","I",312.25,2849,5206.6873036224
"6","t20","J",155.6,4287,6070.88181399868
"6","v48","J",265.8,4357,6698.27640369465
"6","a53","K",277.06,4351,6373.34326421321
"6","d56","K",249.9,3995,6296.00655888735
"7","e5","A",251,3529,3414.60707966182
"7","m13","A",279.1,3894,3440.86909249002
"7","q17","A",189.6,3389,3357.22317974539
"7","u21","A",226.5,4124,3391.70959516748
"7","e57","A",352.4,3757,3509.37462773227
"7","f6","B",262.8,5763,3860.90279307459
"7","r18","B",203.3,4895,3802.80230073737
