"id","target","subassay","predictor","response"
"1","e5","A","251",3161
"1","u21","A","226.5",3976
"1","e31","A","262.4",3323
"1","m39","A","212.15",3647
"1","u47","A","216.9",3454
"1","r18","B","203.3",3266
"1","n40","B","330.25",1740
"1","w23","C","257.5",3508
"1","g33","C","221",3084
"1","k37","C","395.5",2817
"1","a27","D","202.4",2192
"1","h8","E","212.01",2862
"1","o15","E","412.5",2153
"1","a27","E","292.65",3325
"1","j36","E","397.9",1950
"1","m39","E","196.9",2713
"1","o41","E","270.9",1472
"1","r44","F","422.1",4049
"1","j10","G","483.9",2256
"1","r18","G","257.15",4584
"1","c29","G","296.5",3919
"1","p42","G","333.5",1857
"1","s45","G","196.8",4373
"1","a53","G","277",4153
"1","a27","H","194.3",3901
"1","e31","H","213.1",3856
"1","t20","I","153.1",5688
"1","x24","I","324.75",3896
"1","a27","I","345",5257
"1","x50","I","365.2",3681
"1","t46","J","278.7",5183
"1","f6","K","262.85",4560
"1","z26","K","162.6",4874
"1","l38","K","242.5",5153
"2","e5","A","251",3718
"2","i9","A","153.8",4227
"2","m39","A","212.15",4133
"2","n14","B","191.75",4510
"2","j36","B","496.2",4772
"2","s19","C","205.95",3043
"2","k37","C","395.5",3672
"2","a53","C","421",3653
"2","e5","D","181.75",2757
"2","g7","D","292.3",2690
"2","c55","D","355.8",2902
"2","h8","E","212.01",3152
"2","h34","E","228.7",3517
"2","o41","E","270.9",3609
"2","t46","E","254.4",3929
"2","d4","F","258.9",5326
"2","k11","F","270.4",5889
"2","p16","F","285.6",6110
"2","g33","F","227.9",6499
"2","r44","F","422.1",5899
"2","y51","F","238",6233
"2","e57","G","381.6",3312
"2","l12","H","297.7",3289
"2","a27","H","194.3",2780
"2","h34","H","233.8",3423
"2","d4","I","169.15",4677
"2","h8","I","335.3",4285
"2","j10","I","237.8",5236
"2","l12","I","261.95",4446
"2","p16","I","203.4",5207
"2","x24","I","324.75",3594
"2","p42","I","312.25",4528
"2","t20","J","155.6",4568
"2","z26","J","229.6",4545
"2","b28","J","238.6",5166
"2","t46","J","278.7",4417
"2","v48","J","265.8",4846
"2","s19","K","205.8",4787
"3","i9","A","153.8",2339
"3","a27","A","399.5",3103
"3","i35","A","380.25",2786
"3","u47","A","216.9",2468
"3","y51","A","237.9",2865
"3","v22","B","163.8",2452
"3","n40","B","330.25",2763
"3","z52","B","372",2795
"3","k11","C","186.2",2485
"3","o15","C","330.4",3557
"3","c29","C","237.9",3186
"3","w49","C","410.8",3242
"3","e5","D","181.75",2016
"3","g7","D","292.3",2271
"3","i9","D","234.6",2436
"3","a27","D","202.4",2187
"3","d30","D","304.3",3109
"3","i35","D","368.5",2468
"3","u47","D","248",2259
"3","h8","E","212.01",3447
"3","m13","E","368.6",3573
"3","j36","E","397.9",4015
"3","t46","E","254.4",4087
"3","b54","E","281.6",4392
"3","d4","F","258.9",5332
"3","k11","F","270.4",5679
"3","w49","F","403.83",6236
"3","d56","F","249.9",4316
"3","r18","G","257.15",5545
"3","w23","G","238.5",5054
"3","c29","G","296.5",5475
"3","s45","G","196.8",5547
"3","a53","G","277",5757
"3","l12","H","297.7",5445
"3","q17","H","175.95",4640
"3","u21","H","245.5",4449
"3","e31","H","213.1",4551
"3","l38","H","260.8",4827
"3","p16","I","203.4",6264
"3","b2","J","360.3",7590
"3","s19","K","205.8",5987
"3","d56","K","249.9",5548
"4","i9","A","153.8",2880
"4","i35","A","380.25",2991
"4","m39","A","212.15",2999
"4","q43","A","341.56",3714
"4","f6","B","262.8",4000
"4","y25","B","413.65",3238
"4","b28","B","245.4",3655
"4","f32","B","465.9",4453
"4","n40","B","330.25",4141
"4","b54","B","212.4",3653
"4","g7","C","196.7",1701
"4","o15","C","330.4",1830
"4","s19","C","205.95",1428
"4","w23","C","257.5",1527
"4","g7","D","292.3",2707
"4","n14","D","262.8",2845
"4","o15","E","412.5",4625
"4","q43","E","335.5",4894
"4","t46","E","254.4",4973
"4","b54","E","281.6",5202
"4","d4","F","258.9",6183
"4","k11","F","270.4",7035
"4","x24","F","208.7",6740
"4","g33","F","227.9",7454
"4","r44","F","422.1",6861
"4","y51","F","238",6892
"4","j10","G","483.9",4116
"4","r18","G","257.15",4658
"4","a53","G","277",4953
"4","u21","H","245.5",4583
"4","e31","H","213.1",4672
"4","h34","H","233.8",5222
"4","e57","H","352.4",5147
"4","d4","I","169.15",4379
"4","h8","I","335.3",5306
"4","l12","I","261.95",4652
"4","d30","I","289.2",5012
"4","x50","I","365.2",4659
"4","d56","I","373.8",4006
"4","b2","J","360.3",2810
"4","b28","J","238.6",3062
"4","t46","J","278.7",2483
"4","c3","K","177.6",5215
"4","s19","K","205.8",6173
"5","e5","A","251",1165
"5","i9","A","153.8",1257
"5","q17","A","189.6",1024
"5","e31","A","262.4",1075
"5","e57","A","352.4",1055
"5","f6","B","262.8",2173
"5","f32","B","465.9",2425
"5","b54","B","212.4",1660
"5","o15","C","330.4",2982
"5","w23","C","257.5",2464
"5","c29","C","237.9",2372
"5","k37","C","395.5",2898
"5","o41","C","247.8",2436
"5","s45","C","232.07",1996
"5","c55","C","319.2",2621
"5","e5","D","181.75",629
"5","f32","D","432.7",866
"5","i35","D","368.5",727
"5","s19","E","219.7",2535
"5","a27","E","292.65",2216
"5","v48","E","455.9",2008
"5","b54","E","281.6",2346
"5","d4","F","258.9",3212
"5","x24","F","208.7",3752
"5","d56","F","249.9",2901
"5","r18","G","257.15",2592
"5","c29","G","296.5",2244
"5","e57","G","381.6",2492
"5","l12","H","297.7",2836
"5","h8","I","335.3",2408
"5","p16","I","203.4",2506
"5","t20","I","153.1",1843
"5","x24","I","324.75",1811
"5","d56","I","373.8",1992
"5","t20","J","155.6",2647
"5","z26","J","229.6",3303
"5","v48","J","265.8",3150
"5","c3","K","177.6",2672
"5","l38","K","242.5",3913
"5","a53","K","277.06",3124
"6","m13","A","279.1",2297
"6","u21","A","226.5",2682
"6","e31","A","262.4",2207
"6","y51","A","237.9",2456
"6","j36","B","496.2",2134
"6","b54","B","212.4",2167
"6","g7","C","196.7",2444
"6","w23","C","257.5",1885
"6","g33","C","221",1635
"6","k37","C","395.5",2101
"6","w49","C","410.8",2242
"6","i9","D","234.6",2201
"6","d30","D","304.3",3064
"6","u47","D","248",2029
"6","h34","E","228.7",1909
"6","k11","F","270.4",4030
"6","x24","F","208.7",4321
"6","r44","F","422.1",3989
"6","d56","F","249.9",3381
"6","j10","G","483.9",2735
"6","r18","G","257.15",3722
"6","w23","G","238.5",3469
"6","c29","G","296.5",3456
"6","k37","G","410.55",2364
"6","p42","G","333.5",3437
"6","s45","G","196.8",3662
"6","a53","G","277",3856
"6","e57","G","381.6",3282
"6","q17","H","175.95",2211
"6","u21","H","245.5",2388
"6","h34","H","233.8",2866
"6","y51","H","281.9",2779
"6","d4","I","169.15",2818
"6","h8","I","335.3",2686
"6","p42","I","312.25",2849
"6","t20","J","155.6",4287
"6","v48","J","265.8",4357
"6","a53","K","277.06",4351
"6","d56","K","249.9",3995
"7","e5","A","251",3529
"7","m13","A","279.1",3894
"7","q17","A","189.6",3389
"7","u21","A","226.5",4124
"7","e57","A","352.4",3757
"7","f6","B","262.8",5763
"7","r18","B","203.3",4895
"7","v22","B","163.8",5716
"7","b28","B","245.4",4897
"7","f32","B","465.9",6614
"7","n40","B","330.25",6088
"7","o15","C","330.4",3305
"7","w23","C","257.5",2775
"7","c29","C","237.9",2850
"7","k37","C","395.5",3432
"7","c55","C","319.2",3061
"7","e5","D","181.75",3360
"7","g7","D","292.3",4055
"7","z52","D","469.3",4795
"7","c55","D","355.8",4748
"7","m13","E","368.6",5357
"7","a27","E","292.65",6207
"7","h34","E","228.7",5442
"7","t46","E","254.4",6027
"7","b54","E","281.6",6170
"7","d4","F","258.9",5220
"7","f6","G","216.3",5379
"7","r18","G","257.15",5628
"7","k37","G","410.55",4157
"7","s45","G","196.8",5177
"7","e57","G","381.6",5567
"7","q17","H","175.95",6040
"7","h34","H","233.8",7517
"7","l38","H","260.8",7244
"7","y51","H","281.9",6929
"7","h8","I","335.3",5820
"7","j10","I","237.8",6935
"7","l12","I","261.95",5716
"7","a27","I","345",6621
"7","d56","I","373.8",4908
"7","b2","J","360.3",9863
"7","b28","J","238.6",8428
"7","c3","K","177.6",8567
"8","u21","A","226.5",3932
"8","q43","A","341.56",4467
"8","v22","B","163.8",3737
"8","b28","B","245.4",3876
"8","f32","B","465.9",4673
"8","o15","C","330.4",3479
"8","s19","C","205.95",3134
"8","w23","C","257.5",3234
"8","c29","C","237.9",3600
"8","o41","C","247.8",3160
"8","w49","C","410.8",3062
"8","g7","D","292.3",2240
"8","d30","D","304.3",3481
"8","f32","D","432.7",2946
"8","n40","D","384.7",2720
"8","u47","D","248",2300
"8","h8","E","212.01",3948
"8","m39","E","196.9",3991
"8","k11","F","270.4",4911
"8","v22","F","192.3",5935
"8","r44","F","422.1",5070
"8","d56","F","249.9",4430
"8","w23","G","238.5",3469
"8","y25","G","356.45",3036
"8","p42","G","333.5",3676
"8","a27","H","194.3",5652
"8","y51","H","281.9",6570
"8","a27","I","345",6422
"8","p42","I","312.25",5585
"8","t20","J","155.6",6478
"8","t46","J","278.7",8100
"8","v48","J","265.8",8168
"8","a1","K","210.5",7241
"8","c3","K","177.6",6856
"8","d56","K","249.9",7159
"9","i9","A","153.8",2736
"9","a27","A","399.5",3053
"9","q43","A","341.56",2782
"9","e57","A","352.4",2709
"9","j36","B","496.2",NA
"9","b54","B","212.4",1288
"9","g7","C","196.7",2663
"9","c29","C","237.9",2400
"9","s45","C","232.07",1854
"9","w49","C","410.8",2087
"9","c55","C","319.2",2246
"9","i9","D","234.6",2019
"9","i35","D","368.5",1817
"9","z52","D","469.3",1780
"9","d4","F","258.9",2864
"9","v22","F","192.3",3369
"9","x24","F","208.7",3296
"9","g33","F","227.9",3764
"9","j10","G","483.9",2366
"9","s45","G","196.8",3097
"9","x50","G","319.2",2707
"9","l38","H","260.8",3140
"9","e57","H","352.4",3039
"9","d4","I","169.15",4003
"9","h8","I","335.3",3319
"9","p16","I","203.4",3908
"9","d56","I","373.8",3114
"9","b2","J","360.3",6162
"9","b28","J","238.6",6381
"9","c3","K","177.6",4511
"9","l38","K","242.5",5916
"10","i9","A","153.8",2203
"10","i35","A","380.25",2354
"10","m39","A","212.15",2260
"10","q43","A","341.56",2792
"10","y51","A","237.9",2327
"10","e57","A","352.4",2322
"10","v22","B","163.8",2759
"10","b28","B","245.4",2323
"10","n40","B","330.25",2978
"10","b54","B","212.4",2502
"10","k11","C","186.2",1628
"10","c29","C","237.9",2115
"10","s45","C","232.07",1657
"10","w49","C","410.8",2237
"10","c3","D","191.1",1653
"10","n14","D","262.8",2202
"10","d30","D","304.3",2996
"10","n40","D","384.7",2450
"10","z52","D","469.3",2013
"10","m13","E","368.6",2360
"10","h34","E","228.7",2679
"10","j36","E","397.9",2942
"10","b54","E","281.6",2952
"10","d4","F","258.9",3314
"10","k11","F","270.4",3560
"10","x24","F","208.7",3543
"10","g33","F","227.9",4075
"10","d56","F","249.9",2626
"10","q17","H","175.95",3375
"10","u21","H","245.5",3101
"10","a27","H","194.3",3142
"10","h34","H","233.8",3845
"10","l38","H","260.8",3447
"10","e57","H","352.4",3410
"10","d4","I","169.15",3141
"10","p16","I","203.4",3739
"10","x24","I","324.75",2689
"10","b2","J","360.3",4472
"10","t20","J","155.6",3343
"10","b28","J","238.6",4377
"10","s19","K","205.8",3840
"10","z26","K","162.6",3327
"10","d56","K","249.9",3310
"11","q17","A","189.6",3907
"11","i35","A","380.25",4532
"11","q43","A","341.56",5395
"11","u47","A","216.9",4048
"11","y51","A","237.9",4453
"11","n14","B","191.75",4057
"11","v22","B","163.8",4268
"11","f32","B","465.9",6488
"11","n40","B","330.25",6225
"11","r44","B","397.55",5297
"11","b54","B","212.4",4362
"11","c29","C","237.9",3297
"11","o41","C","247.8",3158
"11","a53","C","421",3527
"11","c55","C","319.2",3721
"11","d30","D","304.3",4085
"11","h34","E","228.7",3905
"11","m39","E","196.9",3668
"11","d4","F","258.9",5215
"11","p16","F","285.6",6066
"11","x24","F","208.7",5890
"11","f6","G","216.3",4243
"11","r18","G","257.15",4213
"11","w23","G","238.5",3861
"11","k37","G","410.55",3921
"11","p42","G","333.5",4318
"11","s45","G","196.8",4086
"11","d4","I","169.15",7070
"11","h8","I","335.3",7224
"11","l12","I","261.95",7804
"11","d56","I","373.8",5643
"11","b2","J","360.3",10400
"11","z26","J","229.6",8172
"11","a1","K","210.5",5054
"11","s19","K","205.8",5193
"11","a53","K","277.06",5140
"11","d56","K","249.9",4379
"12","i9","A","153.8",5550
"12","u21","A","226.5",6142
"12","e31","A","262.4",5473
"12","m39","A","212.15",5940
"12","y51","A","237.9",5842
"12","v22","B","163.8",5238
"12","y25","B","413.65",4258
"12","g7","C","196.7",4261
"12","w23","C","257.5",3489
"12","k37","C","395.5",4774
"12","o41","C","247.8",3703
"12","g7","D","292.3",3518
"12","i9","D","234.6",3506
"12","i35","D","368.5",4097
"12","m13","E","368.6",4565
"12","a27","E","292.65",5147
"12","j36","E","397.9",4887
"12","b54","E","281.6",4994
"12","g33","F","227.9",3205
"12","k37","G","410.55",6144
"12","p42","G","333.5",6672
"12","a53","G","277",6731
"12","d4","I","169.15",6196
"12","p16","I","203.4",7912
"12","t20","I","153.1",5722
"12","a27","I","345",7894
"12","p42","I","312.25",7117
"12","d56","I","373.8",5273
"12","b2","J","360.3",10121
"12","z26","J","229.6",7127
"12","b28","J","238.6",8662
"12","e57","J","381.5",8568
"12","a1","K","210.5",9390
"12","s19","K","205.8",9053
"12","z26","K","162.6",8733
"12","a53","K","277.06",9355
"13","q17","A","189.6",743
"13","a27","A","399.5",694
"13","m39","A","212.15",874
"13","u47","A","216.9",837
"13","y51","A","237.9",968
"13","e57","A","352.4",527
"13","r44","B","397.55",934
"13","b54","B","212.4",743
"13","g7","C","196.7",844
"13","k11","C","186.2",528
"13","o15","C","330.4",880
"13","g33","C","221",641
"13","k37","C","395.5",932
"13","w49","C","410.8",811
"13","a53","C","421",805
"13","e5","D","181.75",447
"13","i35","D","368.5",554
"13","u47","D","248",518
"13","s19","E","219.7",681
"13","a27","E","292.65",672
"13","v48","E","455.9",625
"13","v22","F","192.3",1454
"13","x24","F","208.7",1494
"13","y51","F","238",1665
"13","y25","G","356.45",752
"13","k37","G","410.55",861
"13","p42","G","333.5",1041
"13","h34","H","233.8",819
"13","d4","I","169.15",969
"13","l12","I","261.95",957
"13","p42","I","312.25",1062
"13","t20","J","155.6",1469
"13","c3","K","177.6",1134
"13","a53","K","277.06",1291
"13","d56","K","249.9",1194
"14","i9","A","153.8",1973
"14","i35","A","380.25",1876
"14","u47","A","216.9",1792
"14","y51","A","237.9",2016
"14","b28","B","245.4",2206
"14","f32","B","465.9",2714
"14","n40","B","330.25",2536
"14","b54","B","212.4",2019
"14","g7","C","196.7",2040
"14","o15","C","330.4",1923
"14","s19","C","205.95",1546
"14","g33","C","221",1423
"14","k37","C","395.5",2009
"14","o41","C","247.8",1679
"14","s45","C","232.07",1435
"14","w49","C","410.8",1767
"14","c55","C","319.2",1783
"14","e5","D","181.75",1251
"14","i9","D","234.6",1518
"14","d30","D","304.3",1822
"14","n40","D","384.7",1504
"14","h8","E","212.01",1677
"14","m13","E","368.6",1608
"14","o15","E","412.5",1759
"14","j36","E","397.9",1932
"14","m39","E","196.9",1740
"14","q43","E","335.5",1755
"14","v48","E","455.9",1547
"14","d4","F","258.9",2329
"14","x24","F","208.7",2677
"14","j10","G","483.9",2545
"14","c29","G","296.5",2796
"14","k37","G","410.55",2380
"14","e57","G","381.6",2970
"14","l12","H","297.7",2450
"14","h34","H","233.8",2453
"14","e57","H","352.4",2348
"14","j10","I","237.8",3731
"14","l12","I","261.95",3122
"14","d30","I","289.2",3058
"14","p42","I","312.25",2935
"14","x50","I","365.2",2921
"14","a1","K","210.5",2616
"14","s19","K","205.8",2653
"14","z26","K","162.6",2325
"14","d56","K","249.9",2235
"15","e57","A","352.4",3037
"15","n14","B","191.75",3600
"15","f32","B","465.9",3931
"15","j36","B","496.2",3276
"15","z52","B","372",3707
"15","g7","C","196.7",3326
"15","c29","C","237.9",2912
"15","w49","C","410.8",2882
"15","c3","D","191.1",1654
"15","e5","D","181.75",1729
"15","i9","D","234.6",1980
"15","a27","D","202.4",1865
"15","u47","D","248",1865
"15","m13","E","368.6",3778
"15","o15","E","412.5",4233
"15","s19","E","219.7",4538
"15","a27","E","292.65",4615
"15","o41","E","270.9",4039
"15","k11","F","270.4",4262
"15","g33","F","227.9",5466
"15","f6","G","216.3",4745
"15","j10","G","483.9",3799
"15","y25","G","356.45",3643
"15","k37","G","410.55",3858
"15","s45","G","196.8",4866
"15","e57","G","381.6",4470
"15","q17","H","175.95",4406
"15","l38","H","260.8",4873
"15","y51","H","281.9",5105
"15","e57","H","352.4",4872
"15","d4","I","169.15",5382
"15","j10","I","237.8",6036
"15","l12","I","261.95",5122
"15","t20","I","153.1",4442
"15","x24","I","324.75",3810
"15","d30","I","289.2",5065
"15","x50","I","365.2",4735
"15","d56","I","373.8",3703
"15","t46","J","278.7",9177
"15","e57","J","381.5",10344
"15","a1","K","210.5",5961
"15","c3","K","177.6",6366
"15","f6","K","262.85",6637
"15","s19","K","205.8",6461
"15","z26","K","162.6",6144
"15","a53","K","277.06",6066
"16","m13","A","279.1",3083
"16","a27","A","399.5",3497
"16","u47","A","216.9",2892
"16","e57","A","352.4",3213
"16","r44","B","397.55",4887
"16","b54","B","212.4",4244
"16","w23","C","257.5",2561
"16","o41","C","247.8",2629
"16","a27","D","202.4",2264
"16","d30","D","304.3",3355
"16","f32","D","432.7",3244
"16","c55","D","355.8",2776
"16","a27","E","292.65",3998
"16","j36","E","397.9",3896
"16","m39","E","196.9",3321
"16","d4","F","258.9",5429
"16","v22","F","192.3",6384
"16","x24","F","208.7",6120
"16","d56","F","249.9",4303
"16","w23","G","238.5",4363
"16","c29","G","296.5",4826
"16","k37","G","410.55",4581
"16","s45","G","196.8",5028
"16","u21","H","245.5",3943
"16","a27","H","194.3",3873
"16","e31","H","213.1",3955
"16","h34","H","233.8",4689
"16","y51","H","281.9",4676
"16","h8","I","335.3",6229
"16","a27","I","345",6528
"16","p42","I","312.25",5827
"16","d56","I","373.8",4691
"16","b28","J","238.6",6269
"16","t46","J","278.7",5531
"16","a1","K","210.5",5408
"16","c3","K","177.6",5390
"16","a53","K","277.06",5673
"17","e5","A","251",2646
"17","i9","A","153.8",2870
"17","f6","B","262.8",3876
"17","f32","B","465.9",3921
"17","j36","B","496.2",3401
"17","r44","B","397.55",3505
"17","z52","B","372",3747
"17","g7","C","196.7",4052
"17","o15","C","330.4",3843
"17","w23","C","257.5",3342
