"id","target","subassay","predictor","response","subpopulation","predicted"
"1","e5","A",251,3161,"sample",4203.61042613623
"1","u21","A",226.5,3976,"sample",4231.8249965027
"1","e31","A",262.4,3323,"sample",4190.48201380244
"1","m39","A",212.15,3647,"sample",4248.35067343163
"1","u47","A",216.9,3454,"sample",4242.88050162588
"1","r18","B",203.3,3266,"sample",4258.54246721707
"1","n40","B",330.25,1740,"sample",4112.34492811408
"1","w23","C",257.5,3508,"sample",4196.12492787574
"1","g33","C",221,3084,"sample",4238.15887964619
"1","k37","C",395.5,2817,"sample",4037.20204172991
"1","a27","D",202.4,2192,"sample",4259.57892082237
"1","h8","E",212.01,2862,"sample",4248.51189954801
"1","o15","E",412.5,2153,"sample",4017.62458474093
"1","a27","E",292.65,3325,"sample",4155.64565651323
"1","j36","E",397.9,1950,"sample",4034.43816544912
"1","m39","E",196.9,2713,"sample",4265.91280396586
"1","o41","E",270.9,1472,"sample",4180.69328530795
"1","r44","F",422.1,4049,"sample",4006.56907961775
"1","j10","G",483.9,2256,"sample",3935.39926538722
"1","r18","G",257.15,4584,"sample",4196.52799316669
"1","c29","G",296.5,3919,"sample",4151.21193831279
"1","p42","G",333.5,1857,"sample",4108.60217898383
"1","s45","G",196.8,4373,"sample",4266.02796547756
"1","a53","G",277,4153,"sample",4173.66843309426
"1","a27","H",194.3,3901,"sample",4268.90700327005
"1","e31","H",213.1,3856,"sample",4247.25663907048
"1","t20","I",153.1,5688,"sample",4316.3535460904
"1","x24","I",324.75,3896,"sample",4118.67881125757
"1","a27","I",345,5257,"sample",4095.35860513835
"1","x50","I",365.2,3681,"sample",4072.09597977497
"1","t46","J",278.7,5183,"sample",4171.71068739536
"1","f6","K",262.85,4560,"sample",4189.96378699979
"1","z26","K",162.6,4874,"sample",4305.41320247892
"1","l38","K",242.5,5153,"sample",4213.39915463072
"2","e5","A",251,3718,"sample",4203.61042613623
"2","i9","A",153.8,4227,"sample",4315.5474155085
"2","m39","A",212.15,4133,"sample",4248.35067343163
"2","n14","B",191.75,4510,"sample",4271.8436218184
"2","j36","B",496.2,4772,"sample",3921.23439944814
"2","s19","C",205.95,3043,"sample",4255.49068715702
"2","k37","C",395.5,3672,"sample",4037.20204172991
"2","a53","C",421,3653,"sample",4007.83585624644
"2","e5","D",181.75,2757,"sample",4283.35977298839
"2","g7","D",292.3,2690,"sample",4156.04872180418
"2","c55","D",355.8,2902,"sample",4082.92116187476
"2","h8","E",212.01,3152,"sample",4248.51189954801
"2","h34","E",228.7,3517,"sample",4229.2914432453
"2","o41","E",270.9,3609,"sample",4180.69328530795
"2","t46","E",254.4,3929,"sample",4199.69493473843
"2","d4","F",258.9,5326,"sample",4194.51266671194
"2","k11","F",270.4,5889,"sample",4181.26909286645
"2","p16","F",285.6,6110,"sample",4163.76454308807
"2","g33","F",227.9,6499,"sample",4230.2127353389
"2","r44","F",422.1,5899,"sample",4006.56907961775
"2","y51","F",238,6233,"sample",4218.58142265721
"2","e57","G",381.6,3312,"sample",4053.20949185619
"2","l12","H",297.7,3289,"sample",4149.83000017239
"2","a27","H",194.3,2780,"sample",4268.90700327005
"2","h34","H",233.8,3423,"sample",4223.41820614861
"2","d4","I",169.15,4677,"sample",4297.87012346257
"2","h8","I",335.3,4285,"sample",4106.52927177324
"2","j10","I",237.8,5236,"sample",4218.81174568061
"2","l12","I",261.95,4446,"sample",4191.00024060509
"2","p16","I",203.4,5207,"sample",4258.42730570537
"2","x24","I",324.75,3594,"sample",4118.67881125757
"2","p42","I",312.25,4528,"sample",4133.07400022006
"2","t20","J",155.6,4568,"sample",4313.47450829791
"2","z26","J",229.6,4545,"sample",4228.25498964
"2","b28","J",238.6,5166,"sample",4217.89045358701
"2","t46","J",278.7,4417,"sample",4171.71068739536
"2","v48","J",265.8,4846,"sample",4186.56652240465
"2","s19","K",205.8,4787,"sample",4255.66342942457
"3","i9","A",153.8,2339,"sample",4315.5474155085
"3","a27","A",399.5,3103,"sample",4032.59558126192
"3","i35","A",380.25,2786,"sample",4054.76417226414
"3","u47","A",216.9,2468,"sample",4242.88050162588
"3","y51","A",237.9,2865,"sample",4218.69658416891
"3","v22","B",163.8,2452,"sample",4304.03126433852
"3","n40","B",330.25,2763,"sample",4112.34492811408
"3","z52","B",372,2795,"sample",4064.26499697938
"3","k11","C",186.2,2485,"sample",4278.23508571774
"3","o15","C",330.4,3557,"sample",4112.17218584653
"3","c29","C",237.9,3186,"sample",4218.69658416891
"3","w49","C",410.8,3242,"sample",4019.58233043983
"3","e5","D",181.75,2016,"sample",4283.35977298839
"3","g7","D",292.3,2271,"sample",4156.04872180418
"3","i9","D",234.6,2436,"sample",4222.49691405501
"3","a27","D",202.4,2187,"sample",4259.57892082237
"3","d30","D",304.3,3109,"sample",4142.2293404002
"3","i35","D",368.5,2468,"sample",4068.29564988888
"3","u47","D",248,2259,"sample",4207.06527148722
"3","h8","E",212.01,3447,"sample",4248.51189954801
"3","m13","E",368.6,3573,"sample",4068.18048837718
"3","j36","E",397.9,4015,"sample",4034.43816544912
